1,PKR,USD,23/2/2019,1000
2,MYR,USD,23/2/2019,1000
3,MYR,MYR,23/2/2019,3333
4,MYR,USD,23/2/2019,34343
5,PKR,PKR,23/2/2019,1000
6,PKR,USD,,2000
7,PKR,MYR,23/2/2019,1000
8,PKR,USD,23/2/2019,1000
9,PKR,PKR,23/2/2019,1000
10,PKR,MYR,23/2/2019,1000
11,PKR,USD,23/2/2019,1000
12,PKR,USD,23/2/2019,1000
13,PKR,MYR,23/2/2019,1000
14,PKR,PKR,23/2/2019,1000
15,MYR,,23/2/2019,1000
16,PKR,USD,23/2/2019,1000
17,EURO,USD,,1000
18,PKR,USD,23/2/2019,1000
19,PKR,USD,23/2/2019,1000
20,USD,MYR,,1000
21,PKR,USD,23/2/2019,1000
22,PKR,USD,23/2/2019,1001
23,MYR,USD,23/2/2019,1002
24,MYR,MYR,23/2/2019,1003
25,MYR,USD,23/2/2019,1004
26,PKR,PKR,23/2/2019,1005
27,PKR,USD,,1006
28,PKR,MYR,23/2/2019,1007
29,PKR,USD,23/2/2019,1008
30,PKR,PKR,23/2/2019,1009
31,PKR,MYR,23/2/2019,1010
32,PKR,USD,23/2/2019,1011
33,PKR,USD,23/2/2019,1012
34,PKR,MYR,23/2/2019,1013
35,PKR,PKR,23/2/2019,1014
36,MYR,,23/2/2019,1015
37,PKR,USD,23/2/2019,1016
38,EURO,USD,,1017
39,PKR,USD,23/2/2019,1018
40,PKR,USD,23/2/2019,1019
41,USD,MYR,,1020
42,PKR,USD,23/2/2019,1021
43,PKR,USD,23/2/2019,1022
44,MYR,USD,23/2/2019,1023
45,MYR,MYR,23/2/2019,1024
46,MYR,USD,23/2/2019,1025
47,PKR,PKR,23/2/2019,1026
48,PKR,USD,,1027
49,PKR,MYR,23/2/2019,1028
50,PKR,USD,23/2/2019,1029
51,PKR,PKR,23/2/2019,1030
52,PKR,MYR,23/2/2019,1031
53,PKR,USD,23/2/2019,1032
54,PKR,USD,23/2/2019,1033
55,PKR,MYR,23/2/2019,1034
56,PKR,PKR,23/2/2019,1035
57,MYR,,23/2/2019,1036
58,PKR,USD,23/2/2019,1037
59,EURO,USD,,1038
60,PKR,USD,23/2/2019,1039
61,PKR,USD,23/2/2019,1040
62,USD,MYR,,1041
63,PKR,USD,23/2/2019,1042
64,PKR,USD,23/2/2019,1043
65,MYR,USD,23/2/2019,1044
66,MYR,MYR,23/2/2019,1045
67,MYR,USD,23/2/2019,1046
68,PKR,PKR,23/2/2019,1047
69,PKR,USD,,1048
70,PKR,MYR,23/2/2019,1049
71,PKR,USD,23/2/2019,1050
72,PKR,PKR,23/2/2019,1051
73,PKR,MYR,23/2/2019,1052
74,PKR,USD,23/2/2019,1053
75,PKR,USD,23/2/2019,1054
76,PKR,MYR,23/2/2019,1055
77,PKR,PKR,23/2/2019,1056
78,MYR,,23/2/2019,1057
79,PKR,USD,23/2/2019,1058
80,EURO,USD,,1059
81,PKR,USD,23/2/2019,1060
82,PKR,USD,23/2/2019,1061
83,USD,MYR,,1062
84,PKR,USD,23/2/2019,1063
85,PKR,USD,23/2/2019,1064
86,MYR,USD,23/2/2019,1065
87,MYR,MYR,23/2/2019,1066
88,MYR,USD,23/2/2019,1067
